dot_number,legal_name,dba_name,phone,email,physical_address,physical_city,physical_state,physical_zip,power_units,drivers,inspection_date,oos_total,vehicle_oos,driver_oos,total_violations,inspection_state,inspection_level,safer_link
1516972,AT HOME MEDICAL,,,,200 AMERICAN ROAD,MORRIS PLAINS,NJ,07950,,,20260202,1,1,0,2,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1516972
865520,FUJI EXPRESS INC,,,,3000 ATRIUM WAY 2ND FL OFFICE 224,MT LAUREL,NJ,08054,,,20260111,1,1,0,1,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=865520
3489726,GOLDEN STANDARD TRUCKING CORP,,,,140 GORDON ST,PERTH AMBOY,NJ,08861,,,20260110,2,2,0,4,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3489726
2941376,RIPTIDE CONTRACTING LLC,,,,350 CHERRY QUAY RD,BRICK,NJ,08723,,,20260110,1,0,1,6,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2941376
1924538,CENTURY WASTE SERVICES LLC,,,,623 DOWD AVE,ELIZABETH,NJ,07201,,,20260121,2,2,0,2,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1924538
4206876,WNC LAUNDRY LLC,,,,532 N GROVE ST STE A,EAST ORANGE,NJ,07017,,,20260202,1,1,0,16,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4206876
3066988,PIECE OF CAKE MOVING + STORAGE LLC,,,,10-15 46TH  AVE,LONG ISLAND,NY,11101,,,20260115,2,0,2,6,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3066988
3558419,ELITE LOGISTICS SERVICES ASSOCIATION,,,,568 SAINT CLAIR ROAD,INDIANA,PA,15701,,,20260114,4,4,0,18,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3558419
823590,WORLD LOGISTICS USA INC,,,,173 ROUTE 426,ALLENTOWN,NJ,08501,,,20260110,1,1,0,2,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=823590
1881180,NEW JERSEY TOTAL MAINTENANCE LLC,,,,35 FLORAL AVE,BAYVILLE,NJ,08721,,,20260110,1,1,0,2,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1881180
3086530,SAMMY LOGISTICS INC,,,,1 STATE STREET,MOONACHIE,NJ,07074,,,20260110,3,1,2,6,NJ,3,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3086530
2974884,J&N MASON CONTRACTORS LLC,,,,667 WINDING RIVER RD,BRICK,NJ,08724,,,20260317,1,0,1,3,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2974884
4143667,1G CAPITAL LLC,,,,23 ROBERT ST,NUTLEY,NJ,07110,,,20260112,1,0,1,3,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4143667
1175194,BELFOR USA GROUP INC,,,,185 OAKLAND AVE SUITE 150,BIRMINGHAM,MI,48009,,,20260112,1,0,1,1,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1175194
883753,A C SCOTT ELECTRIC CO INC,,,,606 NEW YORK AVENUE,TRENTON,NJ,08638,,,20260203,2,1,1,7,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=883753
344050,WASTE MANAGEMENT OF PENNSYLVANIA INC,,,,197 SWAMP CREEK RD,GILBERTSVILLE,PA,19525,,,20260224,1,1,0,3,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=344050
4431372,BEAUX LOGISTICS LLC,,,,7808 WILLOWICK DR,SPRING,TX,77389,,,20260224,6,5,1,7,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4431372
4108676,BOOKAH LLC,,,,3404 GATESHEAD MANOR WAY APT#304,SILVER SPRING,MD,20904,,,20260203,1,1,0,3,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4108676
3403398,THE FOAM INSULATORS CORP,,,,3655 ROMBOUTS AVE,BRONX,NY,10466,,,20260203,2,1,1,11,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3403398
3932594,A FORINO GUTTERS,,,,8 OLD RIFLE CAMP RD,WOODLAND PARK,NJ,07424,,,20260112,1,0,1,2,NJ,3,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3932594
2583289,U&T DELIVERY SERVICES LLC,,,,313 WILSON STREET,PERTH AMBOY,NJ,08861,,,20260110,3,1,2,13,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2583289
3322088,MTC DEDICATED LOGISTICS LLC,,,,540 DOREMUS AVENUE,NEWARK,NJ,07105,,,20260112,3,3,0,6,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3322088
2798841,MESA TRUCKING LLC,,,,441 RIVER RD,BOGOTA,NJ,07603,,,20260203,6,6,0,8,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2798841
2995627,DOUBLE O CONTRACTING LLC,,,,109 BIRCH ST,OLD BRIDGE,NJ,08857,,,20260203,1,1,0,4,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2995627
3444532,J&L INDUSTRIES LLC,,,,1365 FREMONT PLACE APT 1,ELIZABETH,NJ,07208,,,20260203,7,7,0,10,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3444532
1398410,MANOLOS TRUCKING LLC,,,,894 BROADWAY,NEWARK,NJ,07104,,,20260112,6,6,0,9,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1398410
2983454,CUTTLER PRODUCE INC,,,,749 HOPE RD STE G,EATONTOWN,NJ,07724,,,20260203,2,0,2,2,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2983454
3208822,ISRAEL FLOORING LLC,,,,95 CURTIS PLACE,TOWNS RIVER,NJ,08753,,,20260203,2,2,0,5,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3208822
3655336,AYE TRANSPORT LLC,,,,3296 HUNTINGTON CIR,WALDORF,MD,20602,,,20260112,1,1,0,2,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3655336
2884473,J & O MASONS AND REPAIR LLC,,,,114 LAWRENCE AVE APT 1,HASBROUCK HEIGHTS,NJ,07604,,,20260112,4,3,1,9,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2884473
4392236,CARGO MOTION LLC,,,,900 E 19TH ST,PATERSON,NJ,07501,,,20260317,1,1,0,6,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4392236
1641090,MARCH HEALTH FOOD INC,,,,10 AQUARIUM DRIVE,SECAUCUS,NJ,07094,,,20260112,1,0,1,6,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1641090
1820425,PACIFIC CONSTRUCTION LLC,,,,350 MONTGOMERY STREET,PASSAIC,NJ,07055,,,20260112,6,5,1,22,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1820425
3245630,E & T PEREZ TRUCKING LLC,,,,41 FLORENCE AVE,BLOOMFIELD,NJ,07003,,,20260203,5,5,0,7,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3245630
2935383,D'AMATO BRO TRUCKING INC,,,,1253 JENNIFER LANE,MANAHAWKIN,NJ,08050,,,20260203,1,0,1,5,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2935383
4294565,UDDERLY DELICIOUS INC,,,,2 JAIME CT,OLD BRIDGE,NJ,08857,,,20260203,1,0,1,1,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4294565
1469572,KELLY CONSTRUCTION CO LLC,,,,3 KELLY COURT,GREEN BROOK,NJ,08812,,,20260112,9,7,2,15,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1469572
1161752,CHRIS ANDERSON ROOFING A TECTA AMERICA CO LLC,,,,95 NEW BRUNSWICK AVE,HOPELAWN,NJ,08861,,,20260112,1,0,1,8,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1161752
1280544,STANLEY STEEMER INTERNATIONAL INC,,,,5800 INNOVATION DRIVE,DUBLIN,OH,43016,,,20260112,1,0,1,1,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1280544
17279,RIGGINS INC,,,,3938 SOUTH MAIN ROAD,VINELAND,NJ,08360,,,20260112,1,1,0,1,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=17279
4443133,DAVILA TRANSPORTATION CORP,,,,15 MAPLE ST,PARLIN,NJ,08859,,,20260224,1,0,1,3,NJ,3,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4443133
3854531,BAEHR MASONRY LLC,,,,50 EVERITTS HILL RD,FLEMINGTON,NJ,08822,,,20260203,1,0,1,5,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3854531
3164505,TOP LINE IMPORT AND EXPORT INC,,,,4703 2ND AVE,BROOKLYN,NY,11232,,,20260203,2,0,2,5,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3164505
3317437,NEW JERSEY CONTRACTING NETWORK LLC,,,,900 HWY 70,WHITING,NJ,08759,,,20260203,1,0,1,7,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3317437
810619,OFFICE BASICS,,,,22 CREEK CIRCLE,BOOTHWYN,PA,19061,,,20260112,1,0,1,1,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=810619
4095158,PARK-A-THON INC,,,,99 BESSEMER ST,NEWARK,NJ,07114,,,20260317,1,0,1,1,NJ,3,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4095158
4341831,MARVIN LAWNCARE & LANDSCAPING LLC,,,,755 LEONARDVILLE RD,LEONARDO,NJ,07737,,,20260317,1,0,1,6,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4341831
1582721,TODD A BLAIS,,,,1619 CAREW ST,SPRINGFIELD,MA,01104,,,20260112,1,1,0,4,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1582721
2927457,CARLITOS TRANSPORT LLC,,,,530 PURCE ST,HILLSIDE,NJ,07205,,,20260112,1,1,0,4,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2927457
4161301,P2D TRANSPORT LLC,,,,5165 EMERALD PKWY STE 300,DUBLIN,OH,43017,,,20260112,1,1,0,2,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4161301
2410143,OVERSEA STARLIGHT ENTERPRISE CORP,,,,47 W MAIN STREET,PAWLING,NY,12564,,,20260317,1,1,0,3,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2410143
4070216,FAST WOLVES CORP,,,,3114 96TH ST,EAST ELMHURST,NY,11369,,,20260317,1,0,1,3,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4070216
4326254,DRF DISTRIBUTION INC,,,,6722 RIDGE BLVD,BROOKLYN,NY,11220,,,20260112,1,0,1,8,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4326254
4266664,WAD TRANSPORT CORP,,,,2721 LINCOLN AVE,CAMDEN,NJ,08105,,,20260112,3,3,0,11,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4266664
3490413,BEST LOGISTICS INC,,,,1999 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11556,,,20260203,1,0,1,3,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3490413
146743,JOHNSON AND TOWERS INC,,,,2021 BRIGGS ROAD,MT LAUREL,NJ,08054,,,20260112,1,0,1,3,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=146743
2370278,M E KNAPP AND SON LLC,,,,864 STATE ROUTE 38,OWEGO,NY,13827,,,20260318,1,1,0,5,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2370278
4288650,PLANK TRUCKING LLC,,,,109561 S 4721 RD,MULDROW,OK,74948,,,20260112,2,2,0,3,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4288650
2399718,EMPIRE HARVESTS INC,,,,461 VAN BRUNT STREET,BROOKLYN,NY,11231,,,20260203,1,0,1,1,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2399718
549452,SOUTHLAND INSULATORS INC,,,,8521 QUARRY RD,MANASSAS,VA,20110,,,20260203,1,0,1,2,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=549452
4490360,OON TRADING MARKET LLC,,,,189 PINE BROOK RD,MONTVILLE,NJ,07045,,,20260224,1,0,1,1,NJ,3,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4490360
1704352,SFAX CARRIERS INC,,,,4967 N KILPATRICK AVE APT 1,CHICAGO,IL,60630,,,20260112,1,1,0,2,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1704352
2179259,HARDDRIVES LLC,,,,4 AMBASSADOR DR,WAYNE,NJ,07470,,,20260112,1,0,1,2,NJ,3,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2179259
1880665,THE MASSO GROUP LLC,,,,210 SOUTH DELSEA DRIVE,GLASSBORO,NJ,08028,,,20260318,3,1,2,7,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1880665
2927457,CARLITOS TRANSPORT LLC,,,,530 PURCE ST,HILLSIDE,NJ,07205,,,20260112,1,1,0,2,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2927457
3245136,PICOT LOGISTICS LLC,,,,202 COLUMBIA ST,DUNELLEN,NJ,08812,,,20260203,2,2,0,11,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3245136
418525,NEW YORK MUTUAL TRADING INC,,,,77 METRO WAY STE1,SECAUCUS,NJ,07094,,,20260203,1,0,1,3,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=418525
1019739,FAZTEC INDUSTRIES INC,,,,200 BLOOMFIELD AVE,STATEN ISLAND,NY,10303,,,20260318,3,3,0,6,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1019739
2630272,DA SIGNS AND SERVICES INC,,,,2155 WINTHROP RD,HOUNTINGDON ALLEY,PA,19006,,,20260203,1,0,1,2,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2630272
2863639,J & C TRANSPORT SERVICES LLC,,,,6300 BERGENLINE AVE APT 3,WEST NEW YORK,NJ,07093,,,20260318,2,2,0,5,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2863639
3083655,MIKES TRUCKING AND WAREHOUSE INC,,,,400 M L K JR WY,BRIDGETON,NJ,08302,,,20260225,1,0,1,1,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3083655
552769,LANDSCAPE MAINTENANCE SERVICES INC,,,,491 AMWELL RD - BUILDING 1 - SUITE 100,HILLSBOROUGH,NJ,08844,,,20260318,1,0,1,1,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=552769
2863639,J & C TRANSPORT SERVICES LLC,,,,6300 BERGENLINE AVE APT 3,WEST NEW YORK,NJ,07093,,,20260318,2,2,0,6,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2863639
3048377,REGIONAL INDUSTRIES LLC,,,,800 E GRAND ST,ELIZABETH,NJ,07201,,,20260203,1,1,0,4,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3048377
4160626,DMD STAIRS LLC,,,,370 WHITESVILLE RD STE 2,JACKSON,NJ,08527,,,20260203,2,0,2,2,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4160626
3107977,G FRASSO GROUP LLC,,,,9 LORETTA DRIVE,CEDAR GROVE,NJ,07009,,,20260318,2,2,0,13,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3107977
4387935,TLE SOLUTIONS LLC,,,,1535 N MYRTLEWOOD ST,PHILADELPHIA,PA,19121,,,20260203,1,0,1,3,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4387935
4141196,MODUGO LLC,,,,2102 E HOLLAND AVE,SAGINAW,MI,48601,,,20260203,1,1,0,3,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4141196
4048215,VAILSBURG TRUCKING AND PAVING COMPANY,,,,175 ROCKWOOD RD,FLORHAM PARK,NJ,07932,,,20260112,1,0,1,9,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4048215
4157050,RISE AND SHINE EJE III CORP,,,,71 BIRCH ST,RAMSEY,NJ,07446,,,20260112,2,0,2,3,NJ,3,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4157050
2426280,JHONATAN TRUCKING LLC,,,,5 LENEL RD,LANDING,NJ,07850,,,20260318,4,4,0,13,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2426280
4424843,STANLEY CORES & RECYCLING INC,,,,11364 ROCKY RIDGE RD,GLEN ALLEN,VA,23059,,,20260318,1,0,1,8,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4424843
1325799,RAMBLIN 8 FREIGHT LLC,,,,251 MANEVAL RD,MT PLEASANT MILLS,PA,17853,,,20260318,3,3,0,11,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1325799
1360522,CV TRUCKING INC,,,,182 CALCUTTA ST,NEWARK,NJ,07114,,,20260318,1,1,0,3,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1360522
3111143,LOCKE & GRAJALES LLC,,,,209 AMITY ST SECOND FLOOR,ELIZABETH,NJ,07202,,,20260224,1,0,1,8,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3111143
4195983,FIVE STAR TOWING SOUTH LLC,,,,60 PELICAN POINTE DR APT 201,DELRAY BEACH,FL,33483,,,20260112,1,0,1,2,NJ,3,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4195983
3402555,CENTURY ELECTRIC INC,,,,17 SADDLE RD,CEDAR KNOLLS,NJ,07927,,,20260112,1,0,1,1,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3402555
3187035,GENO TRUCKING LLC,,,,534 EAST FRONT ST APT 8,PLAINFIELD,NJ,07060,,,20260225,1,0,1,4,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3187035
3411916,LOADPAL INC,,,,1263 S HIGHLAND AVE SUITE 2G,LOMBARD,IL,60148,,,20260225,2,2,0,3,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3411916
1053684,NORTHEAST FIREPROOFING,,,,I-295 BUSINESS CENTER BLDG R STE 2,WESTVILLE,NJ,08093,,,20260316,1,0,1,2,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1053684
2456295,HJK TRANSPORT LLC,,,,22 PINHO AVE,CARTERET,NJ,07008,,,20260203,3,3,0,9,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2456295
2373769,LEOPARD USA CORPORATION DBA OCEAN KINGDOM,,,,300 FOW AVE,SWEDESBORO,NJ,08085,,,20260318,1,0,1,7,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2373769
4266241,LOGISTICS TP&G LLC,,,,609A CRANBURY CROSS RD,NORTH BRUNSWICK,NJ,08902,,,20260225,1,1,0,3,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4266241
4391328,WP TRANSPORTATION CORP,,,,5608 PEABODY AVE,PENNSAUKEN,NJ,08109,,,20260225,1,0,1,1,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4391328
3966442,CLEAR CUT TRANSPORT LLC,,,,14 UNIVERSITY RD,E BRUNSWICK,NJ,08816,,,20260225,1,1,0,10,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3966442
866255,S BERTRAM INC,,,,3401C TREMLEY POINT ROAD,LINDEN,NJ,07036,,,20260225,1,0,1,1,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=866255
615010,SALOMONE BROS INC,,,,17 DEMAREST DR,WAYNE,NJ,07470,,,20260316,2,2,0,4,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=615010
3416394,J D C M TRUCKING LLC,,,,258 S MAIN ST,FLEMINGTON,NJ,08822,,,20260316,2,2,0,5,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3416394
1448244,TFB TRUCKING LLC,,,,488 ROUTE 31,HAMPTON,NJ,08827,,,20260316,1,1,0,2,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1448244
1990019,J PADRINO TRUCKING LLC,,,,425 OLD WATER WORKS RD,OLD BRIDGE,NJ,08857,,,20260316,1,1,0,2,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1990019
2874436,AMIN TRANSIT LLC,,,,61 HUGHES AVE,LAWRENCE,NJ,08648,,,20260316,1,1,0,2,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2874436
1577592,JOHNSONS RESTAURANT EQUIPMENT INC,,,,1100 ROUTE 33,NEPTUNE,NJ,07753,,,20260203,1,0,1,2,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1577592
4205617,3 OF LIFE,,,,2011 8TH ST,NORTH BERGEN,NJ,07047,,,20260225,2,2,0,6,NJ,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=4205617
1619871,RL TRUCKING LLC,,,,16 ANDREWS DR,WOODLAND PARK,NJ,07424,,,20260225,1,0,1,8,NJ,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1619871
